iter	RMSE
126	4.660638315
127	4.652443822
128	4.649627427
129	4.644874149
130	4.640673539
131	4.636071162
132	4.634749658
133	4.63296169
134	4.628611863
135	4.624853122
136	4.622333019
137	4.618476907
138	4.617177686
139	4.614303428
140	4.610030068
141	4.603397969
142	4.59669064
143	4.594906957
144	4.591675926
145	4.586750548
146	4.584187489
147	4.581889355
148	4.57740866
149	4.570236171
150	4.568084074
151	4.564629833
152	4.559314923
153	4.556114894
154	4.547608678
155	4.544093673
156	4.533147047
157	4.531651953
158	4.529206958
159	4.528129782
160	4.524689545
161	4.523311826
162	4.522351418
163	4.515734986
164	4.511948593
165	4.505922852
166	4.500583665
167	4.498456853
168	4.491297246
169	4.488312217
170	4.482100955
171	4.479503687
172	4.476256791
173	4.475439861
174	4.472603514
175	4.467729504
176	4.462887229
177	4.455212676
178	4.452264967
179	4.447667398
180	4.443784411
181	4.440828178
182	4.434206719
183	4.430340784
184	4.426864333
185	4.423276043
186	4.42007365
187	4.416912814
188	4.415024693
189	4.407340355
190	4.405781519
191	4.402571192
192	4.396355781
193	4.393785044
194	4.392189137
195	4.389400943
196	4.386310843
197	4.384636423
198	4.383117823
199	4.380345544
200	4.377682398
201	4.372640045
202	4.365691808
203	4.361298099
204	4.358002802
205	4.350675653
206	4.343507263
207	4.338216205
208	4.336774498
209	4.331355376
210	4.328998159
211	4.323559935
212	4.322871552
213	4.320222219
214	4.316708735
215	4.312592986
216	4.311262581
217	4.305761574
218	4.303582636
219	4.302332108
220	4.298644753
221	4.297343733
222	4.293499997
223	4.290536777
224	4.287336306
225	4.28200674
226	4.278673978
227	4.276060299
228	4.271084368
229	4.26460648
230	4.258137518
231	4.253844465
232	4.250436623
233	4.243919085
234	4.242981652
235	4.23918997
236	4.234988014
237	4.23130527
238	4.226360702
239	4.222816766
240	4.220374659
241	4.218255234
242	4.213113952
243	4.211884671
244	4.209724674
245	4.208583229
246	4.2077963
247	4.207112012
248	4.206508742
249	4.205827131
250	4.201680009
251	4.199340052
252	4.196973038
253	4.194469426
254	4.192436873
255	4.190125452
256	4.187918482
257	4.183365899
258	4.182602484
259	4.177963795
260	4.174240176
261	4.170869961
262	4.167413928
263	4.165860765
264	4.163729119
265	4.158192261
266	4.155926284
267	4.155204311
268	4.152103017
269	4.151360938
270	4.149313795
271	4.147999064
272	4.146394285
273	4.14591556
274	4.140963521
275	4.139279479
276	4.138690381
277	4.135424611
278	4.134914688
279	4.130611681
280	4.126256313
281	4.120289174
282	4.118637192
283	4.116231056
284	4.11517702
285	4.112765152
286	4.10775962
287	4.10217586
288	4.099372773
289	4.095474468
290	4.092673737
291	4.089572307
292	4.087754053
293	4.087071991
294	4.082891296
295	4.080492108
296	4.079702451
297	4.078084013
298	4.07513477
299	4.074472405
300	4.073868237
301	4.069329205
302	4.06653611
303	4.061344388
304	4.059813822
305	4.058357983
306	4.056726651
307	4.055128094
308	4.053095725
309	4.052737294
310	4.049642741
311	4.048002916
312	4.044258848
313	4.042819964
314	4.041463532
315	4.039617653
316	4.035837812
317	4.035075144
318	4.034101395
319	4.03063818
320	4.024957641
321	4.022147498
322	4.020693475
323	4.017842038
324	4.015561353
325	4.01235066
326	4.009129764
327	4.006264359
328	4.003192626
329	4.001737991
330	3.998901658
331	3.996105721
332	3.995382742
333	3.991777587
334	3.98952986
335	3.985717534
336	3.983119271
337	3.980426565
338	3.979221082
339	3.978447958
340	3.974393326
341	3.972746327
342	3.969998736
343	3.966038419
344	3.962827424
345	3.95856918
346	3.957515456
347	3.955201633
348	3.952270933
349	3.950270227
350	3.947475443
351	3.946108549
352	3.943921647
353	3.94271112
354	3.938928785
355	3.937660256
356	3.93508277
357	3.934373958
358	3.930773747
359	3.925993218
360	3.921666717
361	3.918444152
362	3.91542441
363	3.913312237
364	3.912251675
365	3.909515906
366	3.906132524
367	3.903489796
368	3.90021036
369	3.899871124
370	3.897289408
371	3.895738409
372	3.892246433
373	3.889935152
374	3.887630137
375	3.883758484
376	3.883288655
377	3.881267732
378	3.880669694
379	3.879510221
380	3.87884382
381	3.876848049
382	3.873270292
383	3.86995374
384	3.86717279
385	3.865503499
386	3.862125978
387	3.8589165
388	3.856549289
389	3.856157435
390	3.85501906
391	3.852565217
392	3.852228298
393	3.849301522
394	3.847840064
395	3.847013968
396	3.843705474
397	3.843333999
398	3.84110622
399	3.834445033
400	3.830729466
401	3.828705446
402	3.827104062
403	3.825965941
404	3.821778847
405	3.820376174
406	3.81717028
407	3.814212748
408	3.811955903
409	3.811388813
410	3.809171653
411	3.807642036
412	3.80507318
413	3.802864023
414	3.800443138
415	3.797648448
416	3.790619704
417	3.78766613
418	3.78431909
419	3.782508964
420	3.778469559
421	3.775480288
422	3.772834243
423	3.772316088
424	3.77201768
425	3.769982287
426	3.767216802
427	3.762756306
428	3.760846491
429	3.758309262
430	3.757924933
431	3.754516417
432	3.751889951
433	3.750179761
434	3.747672231
435	3.746620561
436	3.745296729
437	3.744191375
438	3.742468193
439	3.740325744
440	3.739096429
441	3.738499116
442	3.735906151
443	3.732507614
444	3.730079036
445	3.726811009
446	3.725647432
447	3.723474182
448	3.721628941
449	3.718954818
450	3.716210993
451	3.714405751
452	3.712687087
453	3.708846453
454	3.707719922
455	3.706699379
456	3.705408913
457	3.701961579
458	3.701456745
459	3.69910106
460	3.697341116
461	3.692801998
462	3.688958732
463	3.686963081
464	3.685387893
465	3.68152019
466	3.680213909
467	3.678161677
468	3.677885665
469	3.677639326
470	3.675361488
471	3.673689664
472	3.672146052
473	3.666130239
474	3.665875239
475	3.664562923
476	3.660424119
477	3.659623318
478	3.658825902
479	3.655499891
480	3.654708199
481	3.654514245
482	3.652256221
483	3.650914619
484	3.649094715
485	3.646681663
486	3.644666662
487	3.644398837
488	3.643102656
489	3.640142733
490	3.635756173
491	3.635093955
492	3.632488182
493	3.628639477
494	3.62617246
495	3.623034881
496	3.622708369
497	3.620906054
498	3.618327404
499	3.618014957
